EmployeeID,Avg_Hours,No_of_leaves
1,7.343133381226054,17
2,7.684110169491525,13
3,6.985200872359964,7
4,7.1633297872340425,14
5,7.973453514739229,4
6,10.750371542428503,12
7,6.893963122605364,17
8,6.698261316872428,6
9,7.205786231884058,19
10,7.049985754985755,15
11,8.367366297833103,8
12,7.03846357768557,8
13,9.259194565744783,20
14,9.360973995271866,14
15,6.06468418626095,8
16,6.676357243319268,12
17,6.5935364659813995,22
18,10.968026196928635,3
19,6.930534003831418,17
20,9.253897306397306,18
21,7.55735632183908,17
22,5.982961775878443,15
23,8.366132662835248,17
24,6.777773186409551,7
25,7.060995670995671,18
26,9.322344398340249,8
27,10.931961878196189,10
28,7.572020951035781,13
29,10.931820987654321,6
30,6.803705314009662,19
31,10.066789215686276,11
32,6.6819421487603305,7
33,10.473887701804369,15
34,6.156178555098308,6
35,6.559850694444445,9
36,10.230911159003831,17
37,9.94083792470156,7
38,5.953727753727754,18
39,6.746113558492413,22
40,7.659632728963273,10
41,7.174048269581057,5
42,7.5628203309692665,14
43,6.9246854912764,7
44,6.980431712962964,9
45,7.173760245901639,5
46,7.1430995370370365,9
47,7.603353427895981,14
48,7.801306844819503,12
49,6.944011257953989,22
50,6.875713937621833,21
51,10.850880394857668,7
52,9.085181669010781,12
53,6.802483728498373,10
54,7.286554849340867,13
55,8.573911657559199,5
56,6.75640289449113,11
57,10.939833333333334,4
58,7.652794909446891,22
59,9.910061728395062,6
60,7.8728998140399815,10
61,10.628275273224045,5
62,10.450948396094839,10
63,10.024330206830205,18
64,6.5799199817101055,6
65,7.466729957805907,12
66,10.683593117408906,2
67,6.158077107279694,17
68,6.5817927068037205,22
69,6.049016812865497,21
70,9.933954381210478,3
71,7.390103305785124,7
72,6.468143575674439,6
73,6.272205673758865,14
74,9.276111111111112,18
75,6.071781115879828,16
76,7.187316760037348,11
77,7.068233471074381,7
78,9.869316979316979,18
79,10.430812801932367,19
80,6.877052533705253,10
81,7.556499042145594,17
82,6.0535963114754106,5
83,5.976346516007532,13
84,8.942592975206612,7
85,10.38109360410831,11
86,8.353748861566483,5
87,7.87826895565093,16
88,7.074786685419597,12
89,9.646907252440725,10
90,7.73778010227801,10
91,6.2598077824660106,12
92,6.279723414401526,16
93,8.794450536062378,21
94,7.689203783524904,17
95,7.286533142584644,16
96,10.754699730094467,2
97,10.360205215419501,4
98,5.967674897119341,6
99,6.0889307298930735,10
100,8.101525500910746,5
101,7.2744468390804595,17
102,7.074512138188609,11
103,6.300663120567376,14
104,8.091306628516929,16
105,7.951073508005822,20
106,10.463911736411736,18
107,7.959921837421837,18
108,6.079044834307992,21
109,7.555096566523606,16
110,6.856496376811594,19
111,9.256169278252612,15
112,10.762721318879855,3
113,5.968657004830918,19
114,7.753492063492064,4
115,7.684691619585688,13
116,6.163249408983452,14
117,7.091266762452108,17
118,7.792879629629629,9
119,7.586415692007797,21
120,5.9754107312440645,15
121,9.074159574468084,14
122,8.64555202448211,13
123,9.946962560386474,19
124,6.870834535834536,18
125,6.972322916666667,9
126,6.260660173160174,18
127,6.34030131826742,13
128,8.158469907407406,9
129,6.424034722222222,9
130,6.653783816425121,19
131,7.451971631205674,14
132,9.878820861678005,4
133,7.384372645951036,13
134,7.4655450513538755,11
135,5.9741421928536464,22
136,6.831850664767331,15
137,6.106118295019157,17
138,7.643087371512482,22
139,8.842427637721755,11
140,10.849971264367815,17
141,10.646887219837863,16
142,7.02826867816092,17
143,8.973232426303854,4
144,7.389343328684333,10
145,7.555549886621315,4
146,6.597149608114338,8
147,6.165329566854991,13
148,6.44641713747646,13
149,8.159871970736168,6
150,6.75860525082044,12
151,7.26910401891253,14
152,6.793288030519791,16
153,7.288927536231884,19
154,6.138374042145594,17
155,7.577944210032817,12
156,6.567558356676004,11
157,10.603961864406779,13
158,6.177432697014195,22
159,8.556801453352087,12
160,5.975566378066378,18
161,6.254591287322565,22
162,7.872197293447294,15
163,7.145337465564738,7
164,6.623552508204407,12
165,7.873746438746439,15
166,6.691753835425383,10
167,6.262861952861953,18
168,7.149756515775034,6
169,6.259292824074074,9
170,7.187877585377585,18
171,7.775394927536232,19
172,6.779373278236915,7
173,6.455838081671415,15
174,7.621556016597511,8
175,7.5524085944919275,15
176,9.138287037037037,15
177,6.351532485875706,13
178,8.442623456790123,15
179,6.937608151183971,5
180,6.449709543568465,8
181,8.838877410468319,7
182,6.557152777777778,21
183,10.948449367088607,12
184,7.777781308851225,13
185,7.200660291438981,5
186,6.392773029439696,15
187,6.751800144300144,18
188,7.359581560283688,14
189,6.166211352657005,19
190,5.991782308059132,16
191,7.271281876138434,5
192,7.034543158861341,7
193,8.689505280073462,7
194,10.760244821092279,13
195,7.377152163225173,23
196,9.15109858834244,5
197,7.360795565302144,21
198,7.370374596588289,8
199,6.682805080721748,15
200,9.19117796219456,8
201,6.851897954439796,10
202,9.253451690821256,19
203,5.991048034934498,20
204,6.299783138401559,21
205,6.377934833567745,12
206,8.714436099189317,16
207,7.3591875,9
208,6.167392787524366,21
209,7.674916317991632,10
210,7.473812816966344,8
211,9.037226775956285,5
212,5.970261641309359,8
213,6.006360192837466,7
214,5.993934216643422,10
215,6.869372948898265,12
216,10.735193637621025,8
217,8.944450456950456,18
218,7.353289894833105,6
219,6.794828783524904,17
220,6.762970173041895,5
221,7.375780714635341,22
222,10.781936540198735,3
223,6.847749165474487,16
224,8.871151996151998,18
225,6.656767782426778,10
226,7.889374709437471,10
227,6.283716761633428,15
228,7.854393305439331,10
229,8.845736168267031,6
230,7.060660009182736,7
231,7.458777777777778,14
232,8.649595238095237,4
233,6.7761489898989895,7
234,9.087319387288522,6
235,6.988465775902485,12
236,6.6745687134502925,21
237,8.3670255126371,16
238,6.454877963737797,10
239,7.202826086956522,19
240,8.653031609195402,17
241,6.010558002936858,22
242,7.251884160756501,14
243,9.338022268135905,7
244,7.280119549929676,12
245,7.082956264775413,14
246,7.408071827057183,10
247,7.542130847953216,21
248,9.920450819672132,5
249,6.186278011204482,11
250,6.780857075023742,15
251,6.62758321612752,12
252,7.484369834710744,7
253,6.3825304580896685,21
254,10.657905532114393,12
255,6.974708937198067,19
256,8.593282194328218,10
257,10.360068879855465,3
258,6.703549783549783,18
259,7.062173551756885,15
260,7.648778238819733,8
261,6.771952479338843,7
262,7.768905870936438,20
263,7.0684214975845405,19
264,8.847713675213674,15
265,7.570767831149928,20
266,9.081428410117436,3
267,6.793002873563219,17
268,7.479760258183495,8
269,6.686590367191226,16
270,7.862649572649572,15
271,8.170660569105692,3
272,7.133258226037196,16
273,6.482135642135642,18
274,7.898416666666666,19
275,6.688751197318008,17
276,8.581067493112947,7
277,6.724556763285024,19
278,7.678368820362213,22
279,6.583241912798875,12
280,7.315351617440225,12
281,6.139520743919886,16
282,7.352438815467449,22
283,8.061659388646287,20
284,5.993760504201681,11
285,9.769654294032025,20
286,6.082027431996312,8
287,8.269638888888888,19
288,7.488315450643777,16
289,6.379127800640147,6
290,9.964101851851852,9
291,7.065018832391714,13
292,6.381881572930956,6
293,7.769740259740259,18
294,6.270654679575842,8
295,7.104422985216977,16
296,8.762762345679013,15
297,7.469896402550091,5
298,7.052512130033964,20
299,6.24854870288791,22
300,7.06753367003367,18
301,7.770411160058738,22
302,10.85793366150961,12
303,6.166115779645191,11
304,5.969108946608947,18
305,10.007871148459385,11
306,7.646012931034483,17
307,5.953099290780141,14
308,7.9454645593869735,17
309,9.967116858237548,17
310,7.750477003642987,5
311,7.943235704323571,10
312,7.372654454022989,17
313,7.183558310376492,7
314,7.050513649425287,17
315,6.267152777777778,9
316,6.1691727053140095,19
317,6.1759681543468155,10
318,8.873132969034607,5
319,6.780601073762838,11
320,9.415780749885688,6
321,10.765985996326904,7
322,6.8963215488215495,18
323,7.768188752276867,5
324,7.136413255360624,21
325,6.428928898033837,6
326,7.903597768073751,20
327,7.791657483930211,7
328,7.941660806375996,12
329,6.788725218994928,8
330,6.04705227379278,12
331,6.381979755178907,13
332,10.65212141577061,1
333,6.956698939603504,8
334,7.952974058769513,7
335,9.42874183006536,11
336,7.6809088693957115,21
337,7.692018359561278,16
338,8.859626436781609,17
339,7.749854664791373,12
340,10.42614703065134,17
341,6.175739130434783,19
342,6.5910099902534105,21
343,7.95895474137931,17
344,6.8575886015325676,17
345,9.337551020408162,4
346,6.594349446849447,18
347,7.550595564700503,6
348,7.56404958677686,7
349,6.843651300236407,14
350,6.261071428571428,18
351,6.348731725146198,21
352,7.305399230399231,18
353,10.450254036087369,15
354,6.964233193277311,11
355,9.867702641165756,5
356,6.866524334251607,7
357,7.9639094202898555,19
358,7.282511337868481,4
359,6.0884054834054835,18
360,6.293134588563459,10
361,6.39078081232493,11
362,5.995095666205624,8
363,6.873695286195287,18
364,9.66165011820331,14
365,7.756834045584045,15
366,6.384099033816425,19
367,10.34878231292517,4
368,8.487776605719644,12
369,6.560695592286502,7
370,7.55457383665717,15
371,6.078819732595666,8
372,6.264209495839451,22
373,6.455488505747127,17
374,10.93869719926538,7
375,7.974613997113996,18
376,7.562001836547291,7
377,10.368835162322815,6
378,8.75905749636099,20
379,9.958281625781625,18
380,7.848947113051916,20
381,7.760596577590248,12
382,7.4387840018441675,8
383,7.530952898550725,19
384,6.786185579196217,14
385,6.9591937382297555,13
386,9.574632728963273,10
387,10.055383101851852,9
388,9.35790748393021,7
389,6.340156175488794,16
390,7.075427259887006,13
391,7.376800236406619,14
392,6.642720856102003,5
393,7.555641025641026,15
394,10.638186475409837,5
395,8.272830520393812,12
396,6.58323343079922,21
397,6.855286848072562,4
398,9.376923258003766,13
399,9.985916554206028,2
400,6.424813642756681,12
401,9.732411668991167,10
402,6.38858541360744,22
403,10.459404599271402,5
404,6.550365375749194,8
405,7.075156695156695,15
406,7.846861678004536,4
407,10.257326958105645,5
408,8.449343647444914,12
409,9.760886353158137,8
410,10.366194083694083,18
411,7.644830508474577,13
412,10.621729428172943,10
413,7.64825430032543,10
414,7.69183830171635,3
415,6.848670808966861,21
416,10.504573996265174,11
417,8.287217573221758,10
418,6.0574417009602195,6
419,10.337051820728291,11
420,6.962323557463042,16
421,6.670605532310553,10
422,7.055329007285974,5
423,6.475012784751279,10
424,7.054204234972678,5
425,7.054561524334252,7
426,8.863392942298521,16
427,6.038818829891839,23
428,7.612222222222223,8
429,10.666516452074392,16
430,7.065695611577965,11
431,10.570610880590134,8
432,6.05715909090909,7
433,8.293826358826358,18
434,8.109337868480726,4
435,7.860237588652482,14
436,9.76542194092827,12
437,5.991152094717669,5
438,6.247520802741067,22
439,6.281029067041725,12
440,7.586973556525958,20
441,6.345185185185185,12
442,6.961059757236227,11
443,7.442393719806764,19
444,6.495912534435261,7
445,7.9693583212033,20
446,8.065271712760795,20
447,7.286571729957806,12
448,6.48198309178744,19
449,9.436612751992499,12
450,10.049379432624113,14
451,6.778399908172636,7
452,8.153863211951448,11
453,7.901125478927203,17
454,10.238069620253166,12
455,7.4866871584699455,5
456,6.981936409550046,7
457,7.356094202898551,19
458,8.945476025818351,8
459,7.870092592592592,18
460,7.0466428230805915,16
461,8.665594582185491,7
462,7.940470615243342,7
463,10.461923167848699,14
464,9.442911522633745,6
465,7.675700136612022,5
466,6.858849862258953,7
467,6.566270491803279,5
468,9.279741379310344,17
469,6.274268824609734,7
470,6.288820330969267,14
471,6.573817632850242,19
472,9.549096064814815,9
473,10.073600381497377,16
474,8.282119640387275,8
475,7.572011452241716,21
476,7.892468599033816,19
477,7.299837962962963,21
478,7.948020118884316,6
479,6.514737854737854,18
480,6.864897292250234,11
481,7.0701593999062355,12
482,7.269061499771376,6
483,6.906763538748833,11
484,7.995794346978558,21
485,6.163242702448211,13
486,10.065310657596372,4
487,6.56238722697056,15
488,8.58901247645951,13
489,6.2469322075379345,22
490,8.346078216374268,21
491,7.628272532188841,16
492,5.989390301318267,13
493,10.852765255009107,5
494,6.414320175438596,21
495,7.797098893499308,8
496,10.776738425925926,9
497,7.59499411487759,13
498,7.366846136259716,6
499,7.167783613445378,11
500,7.034441015089163,6
501,8.071109958506224,8
502,6.645126366120219,5
503,7.746935261707989,7
504,6.059591642924976,15
505,8.17237493987494,18
506,9.181054189435336,5
507,7.736015840220386,7
508,7.559308461180846,10
509,9.554978632478631,15
510,7.231592995169082,19
511,6.090823500491642,23
512,7.678870748299319,4
513,7.367792022792022,15
514,7.541327941865917,12
515,6.884659036719123,16
516,6.579276819923372,17
517,6.082369065100342,22
518,7.891810742277547,8
519,9.077365112025605,6
520,6.592423580786026,20
521,10.94496978149698,10
522,8.680530303030304,7
523,7.388847340930674,15
524,7.48564535440613,17
525,6.227168495656151,6
526,7.845290670417253,12
527,7.263236714975846,19
528,7.8918405695611575,11
529,7.974954275262917,6
530,6.7043121693121694,18
531,6.584470736168267,6
532,6.165156754264638,8
533,6.384622079160706,16
534,9.772660256410255,15
535,7.761643619602134,20
536,6.636463414634146,3
537,6.657914292497626,15
538,10.536580498866213,4
539,10.855418981481481,9
540,7.777210300429184,16
541,10.169497863247862,15
542,6.75210951730419,5
543,6.2718510638297875,14
544,10.419206187895213,3
545,8.008897996357012,5
546,7.090368753032508,20
547,6.18428118908382,21
548,5.990846503831418,17
549,7.95074494949495,7
550,10.655739991003149,2
551,6.297311594202898,19
552,6.866976090014065,12
553,6.373172268907563,11
554,7.3583141762452104,17
555,7.092662795992714,5
556,7.16850619933238,16
557,5.957570873342478,6
558,10.475467278719398,13
559,6.166456843109204,16
560,7.163935990338165,19
561,6.5771308479532165,21
562,7.4505299707602335,21
563,6.5672671033478895,20
564,7.144859903381643,19
565,7.990564009661836,19
566,7.073227969348658,17
567,7.1742389340560075,3
568,10.854775510204082,4
569,6.493683628318584,23
570,10.640421374764596,13
571,6.9643073286052015,14
572,8.946277777777777,14
573,8.088138422035481,11
574,7.0996717171717165,18
575,7.968624772313297,5
576,7.385077491654744,16
577,7.056550724637681,19
578,6.7749999999999995,7
579,6.766852626685263,10
580,6.686374643874644,15
581,7.986928811928812,18
582,7.661829004329004,18
583,7.035718306412139,22
584,7.873881578947368,21
585,10.247588702147524,11
586,7.491594650205761,6
587,7.658059013370217,8
588,10.475282388197325,8
589,6.869395218002813,12
590,7.463380201188842,6
591,7.95325462962963,9
592,7.479908550525835,6
593,6.566509502923977,21
594,6.255832104228122,23
595,7.438050887021475,11
596,7.254420037192004,10
597,8.763109061930782,5
598,6.746857567443987,6
599,6.672640075973409,15
600,10.358641173641173,18
601,5.972394833104709,6
602,8.856918659165494,12
603,9.837617205813407,12
604,5.968773540489642,13
605,6.1457004310344825,17
606,7.786923347398031,12
607,7.154119212962963,9
608,7.462115384615385,15
609,6.764325221238938,23
610,7.2000860065086005,10
611,7.165739921337267,23
612,7.260518049695265,12
613,8.465672080979285,13
614,6.53235315712188,22
615,5.992415191740413,23
616,6.5557108199902965,20
617,5.9836340679522495,7
618,7.559376465072668,12
619,6.255813492063492,11
620,6.190025362318841,19
621,7.469703703703703,9
622,8.582052533705253,10
623,7.235793144208038,14
